"sample_pt","site_id","site_name","type","site_type","transect","latitude","longitude","project_co","subsite","geometry","idwSN_mix","idwSN_imp","landscape_iji_mix_mean","landscape_iji_imp_mean","landscape_iji_1000","landscape_iji_250","prop_seminat_250","prop_seminat_1000"
"NR13","nicomekl_river","point","bumble point","Point",49.0843357,-122.7621382,"FVBomb",NA,"c(-13665818.7131175"," 6289183.53198848)",109115.306165048,167660.161974553,49.2392422738408,53.6645579475171,52.9418532774037,63.0887674556421,0.0180083778767255,0.0878225892140788
"NR13A","nicomekl_river","point","bumble point","Point",49.0833941,-122.7583509,"FVBomb",NA,"c(-13665397.11281"," 6289023.49252084)",92536.1123450722,150474.530022554,58.548265315357,58.1283213025337,58.1689464564455,49.0077324642878,0.078539660322435,0.0708028170716732
"NR14","nicomekl_river","point","bumble point","Point",49.0809811,-122.7584987,"FVBomb","nr4","c(-13665413.5658307"," 6288613.37974191)",76886.593792716,124458.871770698,58.2320045088886,55.8432016384918,55.4700250974104,55.4210451679052,0.0760367962514072,0.0554014761086721
"NR14A","nicomekl_river","point","bumble point","Point",49.0803908,-122.7595179,"FVBomb","nr4","c(-13665527.0226558"," 6288513.05555893)",73056.9631463816,119152.606024093,54.3394770291638,55.0290410563472,54.9071617852099,54.7488371635479,0.0287539936102236,0.054439890732112
"NR14B","nicomekl_river","point","bumble point","Point",49.0825833,-122.7567284,"FVBomb",NA,"c(-13665216.4969362"," 6288885.68696549)",90427.0422087807,145769.862878397,68.3792629410194,59.4774187605115,59.6544587153547,69.3010538385548,0.0818376837759847,0.0701946658174765
"NR15","nicomekl_river","point","bumble point","Point",49.0844805,-122.7567499,"FVBomb",NA,"c(-13665218.8903052"," 6289208.14325484)",108300.936152398,175183.186587403,65.7388280861338,61.866425852232,61.8127147518228,74.5617755556357,0.0839105873284719,0.0922502205356288
"NR15A","nicomekl_river","point","bumble point","Point",49.0859421,-122.7570826,"FVBomb","nr1","c(-13665255.9262998"," 6289456.57149208)",130325.171445217,207135.696309004,65.9342636131587,67.2567378733008,67.1163298373263,80.9789581810127,0.0413718957132062,0.116735286763288
"NR16","nicomekl_river","point","bumble point","Point",49.0850439,-122.7751401,"FVBomb",NA,"c(-13667266.0780048"," 6289303.90351963)",198705.676350442,283623.137550676,61.7197273754507,62.2943624906136,62.2291760485365,54.5681677045645,0.108991231406677,0.139727523868543
"NR17","nicomekl_river","point","bumble point","Point",49.0831222,-122.7734546,"FVBomb",NA,"c(-13667078.4490031"," 6288977.27947964)",197912.718473483,268550.474819987,55.6195845907706,57.3130361628499,57.4199232045197,57.0232936976545,0.186354714531336,0.128301961222206
"NR17A","nicomekl_river","point","bumble point","Point",49.0825808,-122.7743845,"FVBomb",NA,"c(-13667181.9649976"," 6288885.26206285)",200186.425404505,274603.148797304,54.9544134365623,54.1704846011719,54.0988173295083,52.8363934968843,0.221440705900251,0.133516547489453
"NR17B","nicomekl_river","point","bumble point","Point",49.0818854,-122.7743129,"FVBomb",NA,"c(-13667173.994522"," 6288767.07197263)",193617.696192986,266349.407511757,53.4256048039688,51.9493837622378,51.6384752726247,43.2229184198962,0.254969775650128,0.133237070347692
"NR18","nicomekl_river","point","bumble point","Point",49.0867459,-122.7724607,"FVBomb","nr2","c(-13666967.8085612"," 6289593.19654145)",161380.258472446,240499.506490815,65.4202180114637,65.4608552606044,65.319143053595,64.5692793057778,0.110042242021937,0.134754175856302
"NR18A","nicomekl_river","point","bumble point","Point",49.0869812,-122.7734638,"FVBomb","nr2","c(-13667079.4731424"," 6289633.19182696)",163242.299253404,245898.487900973,64.9729660405581,64.8061268899581,64.7107594608377,58.1010245967921,0.0956206415620642,0.137505002478175
"NR19","nicomekl_river","point","bumble point","Point",49.0837697,-122.7707307,"FVBomb",NA,"c(-13666775.2258421"," 6289087.33118002)",179353.0361667,241697.216311093,55.3116227655874,56.4694941065001,55.9855132195039,49.4639044072048,0.278231409820767,0.113129946766832
"NR20","nicomekl_river","point","bumble point","Point",49.0864015,-122.779016,"FVBomb","nr2","c(-13667697.5412192"," 6289534.65724726)",223743.895738073,333159.482148773,60.7618019159509,60.3387694367473,60.0447405246031,63.0286878280945,0.30367639227699,0.165805548335827
"NR22","nicomekl_river","point","bumble point","Point",49.0896056,-122.7690382,"FVBomb",NA,"c(-13666586.817604"," 6290079.28893699)",124884.803391229,201405.901972868,74.7875267916205,73.3059101871678,73.2987136920502,76.1229145120585,0.0915655807537831,0.0990520945570434
"NR23","nicomekl_river","point","bumble point","Point",49.0779816,-122.7790408,"FVBomb","nr3","c(-13667700.3019426"," 6288103.61337145)",175247.165287327,243641.641507113,63.0873137693035,62.7899207911352,62.6232816533823,50.8186487433483,0.229558504270903,0.114753702001707
"NR24","nicomekl_river","point","bumble point","Point",49.0746121,-122.7791267,"FVBomb","nr3","c(-13667709.8642868"," 6287531.00204813)",113695.242265623,171678.230587493,65.8718926703194,65.5374343856334,65.6100997549212,73.5821153701649,0.12035637860917,0.083731354204112
"NR25","nicomekl_river","point","bumble point","Point",49.0746575,-122.7756397,"FVBomb","nr3","c(-13667321.6932224"," 6287538.71704569)",97458.5141892496,153643.984445024,62.0195896656723,59.4812667282869,59.2091803708722,69.143166051666,0.0761828916933815,0.0814507952676825
"NR27","nicomekl_river","point","bumble point","Point",49.0746722,-122.7679758,"FVBomb",NA,"c(-13666468.5517769"," 6287541.21507504)",85473.8753607856,128235.891106278,57.6351969450761,57.6978655393117,57.707436877866,58.1591499408023,0.0828131101318011,0.0612901850701903
"NR28","nicomekl_river","point","bumble point","Point",49.0789405,-122.7679865,"FVBomb",NA,"c(-13666469.7428955"," 6288266.57550884)",87186.9879168833,144038.010638677,40.6141700849832,45.639421748661,45.3570365137608,61.055453202787,0.0431016558054619,0.0817757581676662
"NR29","nicomekl_river","point","bumble point","Point",49.0749252,-122.7620714,"FVBomb","nr4","c(-13665811.2769755"," 6287584.2084852)",94708.2485305271,134730.679839825,61.4484923692385,58.5718631474388,58.5160340473564,62.9057828147876,0.116654833147378,0.0692285105206581
"NR30","nicomekl_river","point","bumble point","Point",49.0749322,-122.7568143,"FVBomb","nr4","c(-13665226.0592804"," 6287585.39802931)",100586.311410513,141567.573957399,60.801540026671,61.4510952540006,61.591644858909,75.2572780103029,0.136200207916022,0.0721286557186382
"NR30A","nicomekl_river","point","bumble point","Point",49.0749955,-122.7581554,"FVBomb","nr4","c(-13665375.3498495"," 6287596.15491433)",99608.1021579131,140787.27233912,63.2935996745699,62.2660743802898,62.4347594398218,73.3841759301608,0.113353485965855,0.0719704368617925
"NR31","nicomekl_river","point","bumble point","Point",49.0774111,-122.7568679,"FVBomb","nr4","c(-13665232.0260052"," 6288006.66012496)",89730.1062836213,131734.180983762,60.5775375885879,57.81844663655,57.522385756466,65.0821632627762,0.0763757524735905,0.0681335279844983
"NR32","nicomekl_river","point","bumble point","Point",49.0896337,-122.7565806,"FVBomb","nr1","c(-13665200.0439154"," 6290084.06551969)",216828.160241797,306451.377261181,72.9435917895274,68.328355397224,68.2315721612668,69.447171825957,0.199804252686454,0.165547625167649
"NR43","nicomekl_river","point","bumble point","Point",49.0834488,-122.776728,"FVBomb","nr2","c(-13667442.8422243"," 6289032.78954792)",210054.373937917,300961.224406935,55.5787144592018,57.4577707221806,57.2495348769711,54.9574073393135,0.17772953010942,0.146161444407153
"NR44","nicomekl_river","point","bumble point","Point",49.0872257,-122.7766365,"FVBomb","nr2","c(-13667432.6564908"," 6289674.75108983)",186942.10586258,283251.539025419,63.5184866040044,61.9579804330941,62.0789762250593,60.9662183572607,0.107884511986041,0.141538875591237
"PM01","pit_meadows","point","bumble point","Point",49.2568274,-122.6668088,"FVBomb","pm2","c(-13655206.6928519"," 6318552.52068084)",98090.2545840557,155294.36738218,64.9994513256521,59.5039484979281,59.270262526452,61.5876017493164,0.0947360413814088,0.0641968726150373
"PM02","pit_meadows","point","bumble point","Point",49.2568204,-122.6611721,"FVBomb","pm2","c(-13654579.2182781"," 6318551.32675895)",121531.780677308,201840.899976059,59.4362921696797,61.2371357779737,60.947156301524,54.6502916066218,0.0611623896946952,0.126490881400462
"PM03","pit_meadows","point","bumble point","Point",49.2573246,-122.6556113,"FVBomb","pm2","c(-13653960.1928537"," 6318637.32368089)",205708.187048836,280996.377622294,65.9219950862006,62.3580680784928,62.1726957437865,75.7492861499427,0.263279609700683,0.135641017320356
"PM04","pit_meadows","point","bumble point","Point",49.2565823,-122.6486697,"FVBomb","pm1","c(-13653187.4574764"," 6318510.71645917)",218609.5949086,284636.245199425,69.5497775704297,69.1550485311461,69.058366646114,72.1647047552358,0.388760956013634,0.134635763043093
"PM04A","pit_meadows","point","bumble point","Point",49.2570725,-122.6502576,"FVBomb",NA,"c(-13653364.2216958"," 6318594.32511011)",222494.072832728,291435.297358802,71.8614861055543,70.9040823432167,71.0100358056958,71.8410259812731,0.349811081526563,0.13729893542869
"PM05","pit_meadows","point","bumble point","Point",49.2566636,-122.6441454,"FVBomb","pm1","c(-13652683.8147042"," 6318524.58295278)",150025.359400921,211187.5981354,58.475487932413,61.3092362334752,61.262335312773,55.1347428852819,0.109138484475073,0.105838111047415
"PM06","pit_meadows","point","bumble point","Point",49.2567056,-122.6391672,"FVBomb","pm1","c(-13652129.6440151"," 6318531.74646396)",71691.0705179551,117020.416922128,38.2513763949242,46.2516508044841,45.6472430739548,77.7549771749024,0.0751507834653059,0.0534633961983239
"PM07","pit_meadows","point","bumble point","Point",49.252674,-122.666841,"FVBomb","pm2","c(-13655210.2773395"," 6317844.14540341)",71066.0863032687,105663.175736206,66.153674668266,67.639551233751,67.5401997695962,73.1348096773536,0.0862198375105233,0.0511552976739436
"PM08","pit_meadows","point","bumble point","Point",49.2494525,-122.6668625,"FVBomb",NA,"c(-13655212.6707085"," 6317294.74960804)",71602.8208726342,110984.797916526,63.8594008330182,67.0211364620678,66.7623249108967,76.6854176386488,0.0753861371072053,0.0523042947267826
"PM09","pit_meadows","point","bumble point","Point",49.2462388,-122.6668942,"FVBomb","pm3","c(-13655216.1995364"," 6316746.71974543)",93058.7824369381,139362.249396011,66.936127946354,62.0937905979661,62.143680301108,75.3585247638965,0.0804112625476163,0.0711065145474136
"PM10","pit_meadows","point","bumble point","Point",49.2423796,-122.6669693,"FVBomb","pm3","c(-13655224.5596301"," 6316088.66038317)",128127.745290213,177614.955508567,64.2977341667394,64.0711765692767,64.2839419988808,74.654034289901,0.152943801761869,0.0852203064585604
"PM12A","pit_meadows","point","bumble point","Point",49.2454815,-122.6549218,"FVBomb",NA,"c(-13653883.4380648"," 6316617.58313473)",121494.24436423,190838.084188796,62.9036955201889,58.0733814762464,58.0014071264591,67.1163537843971,0.0870658876987991,0.0936076465825636
"PM13A","pit_meadows","point","bumble point","Point",49.2422455,-122.6603344,"FVBomb","pm3","c(-13654485.9659407"," 6316065.79497262)",148024.638983296,214850.965853909,61.8500447577423,59.9108799528045,59.8078333246613,59.3800704820628,0.140211425498889,0.112402311626785
"PM14A","pit_meadows","point","bumble point","Point",49.2426377,-122.6558176,"FVBomb","pm3","c(-13653983.1580646"," 6316132.66922656)",175963.345265296,243024.275945144,64.7113003740334,63.8562643398248,63.9705631356039,67.1371436036561,0.210762536514119,0.12957725061311
"PM15","pit_meadows","point","bumble point","Point",49.2458317,-122.650523,"FVBomb",NA,"c(-13653393.7658887"," 6316677.29983173)",118716.676755076,210584.416485828,64.7045912031931,59.3000172410501,59.1739593093267,48.8137720047602,0.0369882047485269,0.127147630766568
"PM16","pit_meadows","point","bumble point","Point",49.2425818,-122.6504693,"FVBomb",NA,"c(-13653387.788032"," 6316123.13765204)",183869.771155629,259744.202011963,64.1141490984096,62.7533015491504,62.607921331745,65.6696923897038,0.121590304013793,0.124008305436995
"PM17","pit_meadows","point","bumble point","Point",49.2459368,-122.6450835,"FVBomb","pm4","c(-13652788.2435185"," 6316695.22174433)",195282.99470541,305424.471285093,68.4211646401204,62.4986149143346,62.5292579688106,65.1288026270615,0.105880025966649,0.171193285245368
"PM18","pit_meadows","point","bumble point","Point",49.2424697,-122.6455448,"FVBomb","pm4","c(-13652839.5951996"," 6316104.02338218)",180429.078793588,285055.670507427,64.0136354030545,65.0398364822372,64.8756193072461,67.6011896621729,0.0987113362849362,0.142194542893963
"PM19","pit_meadows","point","bumble point","Point",49.2471037,-122.6399986,"FVBomb","pm4","c(-13652222.1950398"," 6316894.20698874)",311159.84199329,402760.005982844,64.7928955628785,63.1516265492404,63.1814950368772,66.1660773567058,0.431865094459237,0.194207011075393
"PM20","pit_meadows","point","bumble point","Point",49.2423129,-122.6387496,"FVBomb","pm4","c(-13652083.1569958"," 6316077.28734868)",304440.541227763,424115.44039572,65.1890728156459,65.8857887521882,65.8734031331869,74.2692466259322,0.318349400828647,0.221085046413824
"PM21","pit_meadows","point","bumble point","Point",49.2520491,-122.6557886,"FVBomb","pm2","c(-13653979.9297994"," 6317737.57192475)",102340.25695481,168862.902211336,62.3086208078612,63.8075203127758,63.3148054302264,73.18606739608,0.0706892442199537,0.0879236978096301
"PM22","pit_meadows","point","bumble point","Point",49.2541735,-122.6484337,"FVBomb","pm1","c(-13653161.1860766"," 6318099.88291338)",215345.981123679,287400.423671583,70.5974627020818,66.6180415674828,66.5448632628179,64.925066553473,0.310131653683869,0.144804159039619
"PM23","pit_meadows","point","bumble point","Point",49.2489276,-122.6558294,"FVBomb",NA,"c(-13653984.4716346"," 6317205.23636539)",101593.812516607,153831.22819263,60.7864306960075,56.9500003094789,56.5879022770149,75.9292945697419,0.12941116802759,0.065411466046118
"PM24","pit_meadows","point","bumble point","Point",49.25105,-122.64805,"FVBomb","pm1","c(-13653118.472788"," 6317567.18336475)",200548.036157753,275428.283121667,69.1050030155209,68.4145713093695,68.5371690611535,72.2195777916648,0.27259909928186,0.133170009492761
"PM25","pit_meadows","point","bumble point","Point",49.2530782,-122.6392102,"FVBomb","pm1","c(-13652134.4307532"," 6317913.08035155)",92491.5699384243,172924.704937964,49.7296393346918,52.4979606283227,54.3511644515779,70.4524630815097,0.0274219233383035,0.11722763394817
"PM26","pit_meadows","point","bumble point","Point",49.2502349,-122.6392102,"FVBomb",NA,"c(-13652134.4307532"," 6317428.17709576)",197894.322212775,287822.9911898,60.7135575681844,61.4160026635422,61.2419704894079,63.0929310932421,0.0163810547776386,0.151260929262492
"PM27","pit_meadows","point","bumble point","Point",49.248618,-122.6453219,"FVBomb",NA,"c(-13652814.7820851"," 6317152.43951702)",222265.837070729,306773.186261192,65.2660504403102,63.2180657437149,63.1250345580833,77.3369014712865,0.324404233630688,0.147792340579316
"PM29","pit_meadows","point","bumble point","Point",49.2444799,-122.6476691,"FVBomb","pm4","c(-13653076.0711939"," 6316446.7909446)",146846.414748257,252991.83042059,62.845940394938,63.8156783957965,63.9485049478339,NA,NA,0.147252572457486
"PM30","pit_meadows","point","bumble point","Point",49.2530502,-122.6442098,"FVBomb","pm1","c(-13652690.9836794"," 6317908.30502769)",176406.507338925,258131.306887842,66.548535586634,63.6080895964734,63.5419016578884,60.0633236130116,0.0655946368080488,0.13619688460518
"PM31","pit_meadows","point","bumble point","Point",49.2451356,-122.638063,"FVBomb",NA,"c(-13652006.7250334"," 6316558.60009678)",342605.565273828,449266.301275621,65.036144830466,62.9513867285557,62.8561943464024,64.9953032021551,0.427073930197884,0.219089908726191
"PM32","pit_meadows","point","bumble point","Point",49.250403,-122.642343,"FVBomb",NA,"c(-13652483.172454"," 6317456.84449939)",212731.818094605,301000.872794134,62.4475475545477,60.5308771737387,60.3184789811905,71.7027936434009,0.0572003813696852,0.157392938673399
"PM40","pit_meadows","point","bumble point","Point",49.2568274,-122.6668088,"FVBomb","pm2","c(-13655206.6928519"," 6318552.52068084)",98090.2545840557,155294.36738218,64.9994513256521,59.5039484979281,59.270262526452,61.5876017493164,0.0947360413814088,0.0641968726150373
"PM41","pit_meadows","point","bumble point","Point",49.2568204,-122.6611721,"FVBomb","pm2","c(-13654579.2182781"," 6318551.32675895)",121531.780677308,201840.899976059,59.4362921696797,61.2371357779737,60.947156301524,54.6502916066218,0.0611623896946952,0.126490881400462
"PM42","pit_meadows","point","bumble point","Point",49.2569187,-122.6556556,"FVBomb","pm2","c(-13653965.1243071"," 6318568.09284912)",195897.813478733,271965.721801249,65.6183998459671,64.9931346153941,64.9517437505544,71.974735748044,0.219279161405164,0.13364290015929
"PM43","pit_meadows","point","bumble point","Point",49.2568767,-122.6492724,"FVBomb",NA,"c(-13653254.5497335"," 6318560.92930702)",219837.803379724,286947.265649295,70.449217477229,69.9065787986895,69.8114957125912,65.5934590076747,0.383708369467647,0.135136493603831
"PM44","pit_meadows","point","bumble point","Point",49.2567783,-122.6440429,"FVBomb","pm1","c(-13652672.4044564"," 6318544.14617509)",146849.446191854,207525.037481829,57.9560953908269,61.0179959737265,60.8362668850074,54.5601844397539,0.110793855267095,0.104031894015768
"PM45","pit_meadows","point","bumble point","Point",49.2567056,-122.6391672,"FVBomb","pm1","c(-13652129.6440151"," 6318531.74646396)",71691.0705179551,117020.416922128,38.2513763949242,46.2516508044841,45.6472430739548,77.7549771749024,0.0751507834653059,0.0534633961983239
"PM46","pit_meadows","point","bumble point","Point",49.2549194,-122.6483229,"FVBomb","pm1","c(-13653148.851877"," 6318227.09794989)",219113.775392016,288104.683629224,70.6190259086436,68.9826015987529,68.9728976925579,66.448549611333,0.325873636488111,0.140270191943996
"PM47","pit_meadows","point","bumble point","Point",49.2523011,-122.649575,"FVBomb",NA,"c(-13653288.2350114"," 6317780.54906539)",192273.0676792,268764.828084567,71.8897414557138,68.3786406753836,68.3837541806493,76.6235035726158,0.176819032452746,0.143497812058097
"PM48","pit_meadows","point","bumble point","Point",49.2489465,-122.6461739,"FVBomb",NA,"c(-13652909.6262913"," 6317208.45943953)",211121.656801367,292763.371855604,64.1367513565267,62.5291524699914,62.4339611161378,77.0734339838155,0.284274796772705,0.138153162625258
"PM49","pit_meadows","point","bumble point","Point",49.2474187,-122.6406256,"FVBomb","pm4","c(-13652291.9923605"," 6316947.92306777)",299666.346176943,390024.765045229,66.9830817652325,62.4917868253193,62.6190713821298,72.080362972544,0.452298360921779,0.188426627117851
"PM50","pit_meadows","point","bumble point","Point",49.2423129,-122.6387496,"FVBomb","pm4","c(-13652083.1569958"," 6316077.28734868)",304440.541227763,424115.44039572,65.1890728156459,65.8857887521882,65.8734031331869,74.2692466259322,0.318349400828647,0.221085046413824
"PM51","pit_meadows","point","bumble point","Point",49.2454815,-122.6549218,"FVBomb","pm3","c(-13653883.4380648"," 6316617.58313473)",121494.24436423,190838.084188796,62.9036955201889,58.0733814762464,58.0014071264591,67.1163537843971,0.0870658876987991,0.0936076465825636
"PM51A","pit_meadows","point","bumble point","Point",49.2460018,-122.6559901,"FVBomb","pm3","c(-13654002.3606768"," 6316706.30572459)",115464.875277404,178614.490973393,62.541188436193,57.153921118896,57.0233085185332,72.8545994398077,0.109851039981336,0.0848283350072008
"PM52","pit_meadows","point","bumble point","Point",49.24583,-122.65052,"FVBomb",NA,"c(-13653393.9292625"," 6316676.80514626)",118721.381945319,210589.201538684,64.6964643811217,59.3020550493519,59.1754472377085,48.8663259157417,0.0369889418687227,0.127193427551158
"PM52B","pit_meadows","point","bumble point","Point",49.2446602,-122.650246,"FVBomb",NA,"c(-13653362.9303897"," 6316477.53532937)",131672.949186104,224997.184066656,64.3852925300148,60.7909841228918,60.3985508839382,58.8991479637113,0.028338007312707,0.139866164239097
"PM53","pit_meadows","point","bumble point","Point",49.24258,-122.65046,"FVBomb",NA,"c(-13653387.7147691"," 6316123.69371836)",183777.086845081,259689.239834433,64.1200118533838,62.7546622988127,62.6079548118837,65.6611249575015,0.121435889113169,0.124017426962164
"PM54","pit_meadows","point","bumble point","Point",49.2435675,-122.654634,"FVBomb","pm3","c(-13653851.4003153"," 6316291.21209658)",159190.039932451,229584.556866257,61.8139111489361,63.3803399899899,63.3913283062818,68.3416224615048,0.112615125573092,0.12493709037163
"PM54A","pit_meadows","point","bumble point","Point",49.2423594,-122.6557711,"FVBomb","pm3","c(-13653977.9817083"," 6316085.21607425)",181377.872515147,248166.808660204,64.2030261705412,64.2449545535474,64.3308993782211,66.8813064701107,0.21799123714477,0.130251574207743
"PM55","pit_meadows","point","bumble point","Point",49.2423986,-122.6448958,"FVBomb","pm4","c(-13652767.3488501"," 6316091.90008096)",184590.803770982,293377.775195872,65.3734405107713,65.0917051871705,65.1271178026565,69.4477317389412,0.109545546764049,0.152306025809674
"PM56","pit_meadows","point","bumble point","Point",49.2460124,-122.6448772,"FVBomb","pm4","c(-13652765.2783076"," 6316708.11326736)",201081.236639168,310655.417240681,68.3637340040474,62.2523442576497,62.2553240993434,65.3876484071936,0.107101741075278,0.172863911718128
"PM57","pit_meadows","point","bumble point","Point",49.25332,-122.64428,"FVBomb","pm1","c(-13652700.5431372"," 6317955.62816617)",175213.091995175,255558.485031225,65.7595777671712,64.0206999264894,63.8062231366562,60.1237854810953,0.0652614922708646,0.133952854189274
"PM58","pit_meadows","point","bumble point","Point",49.25334,-122.63911,"FVBomb","pm1","c(-13652123.7659432"," 6317963.50556771)",86071.0822896068,163307.29861946,46.0153390172702,53.5778329237907,53.0680605848048,69.693636326724,0.0268928444647294,0.102438630223796
"PM59","pit_meadows","point","bumble point","Point",49.2503146,-122.6390887,"FVBomb",NA,"c(-13652120.9054351"," 6317441.76894599)",192935.788201562,282845.424064142,60.5699532861361,61.2780054877425,61.1043036343243,63.0929753571457,0.0161616776490998,0.149806724295731
"PM60","pit_meadows","point","bumble point","Point",49.2502452,-122.6447183,"FVBomb",NA,"c(-13652747.5896405"," 6317429.93363226)",221354.397340741,302707.234289038,65.6095468881588,62.4650896239667,62.4918755121193,73.0581312019465,0.258137152478421,0.145333774463645
"PM61","pit_meadows","point","bumble point","Point",49.2545201,-122.6668191,"FVBomb","pm2","c(-13655207.8394426"," 6318158.99613675)",77837.8214275251,117014.407228461,65.8862529643894,62.6684496100135,66.4922529481551,72.6931033502968,0.0797760671798461,0.0537045037089255
"PM62","pit_meadows","point","bumble point","Point",49.2485683,-122.6669971,"FVBomb",NA,"c(-13655227.654312"," 6317143.9640848)",74882.4952377877,116570.552564337,65.1768524826304,65.9568419314393,65.6364070293606,72.3532764886365,0.0827813897820288,0.0577972326627866
"PM63","pit_meadows","point","bumble point","Point",49.2459944,-122.6670193,"FVBomb","pm3","c(-13655230.1256047"," 6316705.04385533)",95577.8733167773,141929.322606172,64.6569692380144,62.586242416768,62.6497775037429,75.1620794924585,0.0827061568110356,0.0722729516916327
"PM64","pit_meadows","point","bumble point","Point",49.2423796,-122.6669693,"FVBomb","pm3","c(-13655224.5596301"," 6316088.66038317)",128127.745290213,177614.955508567,64.2977341667394,64.0711765692767,64.2839419988808,74.654034289901,0.152943801761869,0.0852203064585604
"PM65","pit_meadows","point","bumble point","Point",49.2547515,-122.6556663,"FVBomb","pm2","c(-13653966.3154257"," 6318198.46203397)",139985.609328388,218686.894797946,68.4815984129587,67.5464238376011,67.6213911718651,72.0677329801187,0.0744768813249803,0.131787725101627
"PM66","pit_meadows","point","bumble point","Point",49.2513562,-122.6558452,"FVBomb","pm2","c(-13653986.2304826"," 6317619.40297333)",100103.082739727,162111.206919573,61.2486859275242,62.6938634351313,62.3795577850647,76.7291310734752,0.105195094986459,0.0775171751202139
"PM67","pit_meadows","point","bumble point","Point",49.2483307,-122.6559418,"FVBomb",NA,"c(-13653996.9839454"," 6317103.44583858)",102120.053965054,154620.742750537,60.5336284366016,54.6422573598598,56.4703370233782,72.2900623778818,0.125397461318836,0.0625133811816287
"PM69","pit_meadows","point","bumble point","Point",49.2422281,-122.6613406,"FVBomb","pm3","c(-13654597.9756123"," 6316062.82810064)",142101.82192739,207065.090130619,62.2942199559629,60.9656270280467,60.9095954015209,65.791870102906,0.128888776182989,0.111059787622556
"PM70","pit_meadows","point","bumble point","Point",49.2451356,-122.638063,"FVBomb","pm4","c(-13652006.7250334"," 6316558.60009678)",342605.565273828,449266.301275621,65.036144830466,62.9513867285557,62.8561943464024,64.9953032021551,0.427073930197884,0.219089908726191
"PM71","pit_meadows","point","bumble point","Point",49.25134,-122.6668765,"FVBomb","pm2","c(-13655214.2291814"," 6317616.64020343)",69617.6236072306,105219.564025131,68.2827990643855,67.7582913866681,67.8168070137416,74.8610739547819,0.0825586643743566,0.0507500073965226
"PM72","pit_meadows","point","bumble point","Point",49.2510605,-122.6428302,"FVBomb",NA,"c(-13652537.4073099"," 6317568.97403833)",196239.409029942,284427.974459149,69.1650681263015,61.7694043729189,61.8661274388433,67.0792549388569,0.03333400951386,0.152115363569962
"PM72A","pit_meadows","point","bumble point","Point",49.2512671,-122.6436402,"FVBomb",NA,"c(-13652627.5760975"," 6317604.20775009)",198582.850364454,284222.157980587,68.8491901613143,61.2960750034942,61.3563523798617,67.7519455249326,0.0504728821724689,0.149695257442962
"SD01","south_delta","point","bumble point","Point",49.0630333,-123.0765727,"FVBomb",NA,"c(-13700821.4015453"," 6285563.60195657)",159338.231654789,224670.635153491,68.4923235445985,66.0976774670499,66.098169841909,58.8726713408709,0.0826452987118369,0.118562529069268
"SD02","south_delta","point","bumble point","Point",49.062963,-123.07138,"FVBomb",NA,"c(-13700243.3528255"," 6285551.6584033)",117433.272420241,187659.965675145,62.5291015091173,68.3047050513742,68.0262414039076,58.0471834399622,0.027978270683175,0.116124266472905
"SD03","south_delta","point","bumble point","Point",49.0601615,-123.0764268,"FVBomb","sd3","c(-13700805.1600316"," 6285075.71391164)",201522.218816495,257895.733363311,62.1115466250381,64.6531549887256,64.4980861352981,51.6601336482869,0.428004037678234,0.119732251446445
"SD04","south_delta","point","bumble point","Point",49.0600315,-123.0713156,"FVBomb",NA,"c(-13700236.1838503"," 6285053.62897173)",166435.113060786,232197.982634254,58.4871382746138,61.4428663438513,60.7676821485453,51.4577621373741,0.233000304290496,0.111539309468115
